Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Revenue
5 Series,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265,6994,Low,792175410
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,4047,Low,246749637
7 Series,2020,South America,Black,Diesel,Manual,2.1,122131,49898,3080,Low,153685840
i8,2022,Europe,White,Diesel,Manual,1.8,196741,55064,7949,High,437703736
i8,2019,Europe,White,Electric,Manual,3.0,35700,96257,4411,Low,424589627
7 Series,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015,8111,High,811221665
5 Series,2020,Africa,White,Electric,Manual,2.3,163444,119486,4668,Low,557760648
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,6273,Low,298136871
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,4645,Low,396543650
M5,2021,Asia,Red,Hybrid,Automatic,3.0,105162,32076,9469,High,303727644
i8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,448,Low,28930496
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,4091,Low,217956207
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,4926,Low,573544032
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,4561,Low,493682640
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,8046,High,424160982
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,3929,Low,340832892
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,7110,High,251701110
i3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,173,Low,12036994
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,5946,Low,221054442
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,2913,Low,175589814
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,7627,High,734144512
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,2155,Low,178164625
i8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,7168,High,848096256
i3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,8283,High,654680037
5 Series,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,648,Low,56282040
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,7933,High,892795686
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,6782,Low,811751144
i3,2018,South America,Red,Petrol,Manual,4.1,1428,46127,608,Low,28045216
3 Series,2018,Africa,Black,Electric,Manual,1.8,117061,54762,3293,Low,180331266
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,4935,Low,444001950
3 Series,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,660,Low,42958740
3 Series,2023,Europe,Black,Electric,Manual,2.8,128295,86402,4266,Low,368590932
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,1932,Low,215132064
7 Series,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620,6962,Low,352416440
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,1703,Low,76549850
i3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945,Low,40970475
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,4289,Low,361759994
i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,3748,Low,247948940
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,5759,Low,393189966
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,9420,High,736116480
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,7944,High,718042272
7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,4823,Low,564874583
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473,8030,High,814828190
X3,2019,North America,Silver,Hybrid,Automatic,4.0,189804,119927,1472,Low,176532544
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,3389,Low,121837939
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,8581,High,822917900
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,2775,Low,266144700
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,4601,Low,551646097
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,6056,Low,437170528
i3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,6301,Low,564487687
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801,8644,High,741663844
7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213,5456,Low,503114128
7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,8472,High,355934136
7 Series,2023,Europe,Red,Electric,Manual,5.0,50602,83812,2241,Low,187822692
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,8293,High,250100294
i8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,8445,High,863746155
i3,2023,North America,Silver,Electric,Manual,5.0,190643,36081,190,Low,6855390
i8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,4055,Low,268489660
3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,1180,Low,58477260
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,8882,High,403145098
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,2914,Low,106419280
3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,4548,Low,182802312
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271,Low,22403028
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451,Low,263109948
7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,4212,Low,219440988
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,3275,Low,383450100
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,7337,High,284756307
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,8345,High,915721885
X3,2022,Asia,Black,Diesel,Manual,4.0,160878,53997,2162,Low,116741514
5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,1299,Low,113461155
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,5637,Low,663835668
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,5908,Low,656207468
i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719,Low,76659061
i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,1460,Low,53532360
3 Series,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509,8070,High,633567630
5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,6353,Low,562011792
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,1684,Low,112164504
7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,5312,Low,454728448
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,7059,High,820241682
3 Series,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,8157,High,413160207
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,2600,Low,108992000
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,9645,High,915156180
7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,6249,Low,379508019
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,1142,Low,91101908
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,4956,Low,562416792
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,5598,Low,486163908
3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,5548,Low,602718076
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,6447,Low,513503550
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,6673,Low,344506971
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,9970,High,320236400
i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,9832,High,900090104
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,3880,Low,398933840
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,9951,High,490375329
5 Series,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,7403,High,270735113
i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,8537,High,820115442
X3,2021,Europe,Blue,Hybrid,Manual,2.0,126258,32119,4249,Low,136473631
7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,271,Low,15634261
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922,Low,329145768
